title,authors,abstract,pdf_url,year
Off-Policy Evaluation and Learning for External Validity under a Covariate Shift,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0084ae4bc24c0795d1e6a4f58444d39b-Paper.pdf,2020
Self-Supervised MultiModal Versatile Networks,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0060ef47b12160b9198302ebdb144dcf-Paper.pdf,2020
An Unsupervised Information-Theoretic Perceptual Quality Metric,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/00482b9bed15a272730fcb590ffebddd-Paper.pdf,2020
"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method",N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/007ff380ee5ac49ffc34442f5c2a2b86-Paper.pdf,2020
Neural Methods for Point-wise Dependency Estimation,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/00a03ec6533ca7f5c644d198d815329c-Paper.pdf,2020
Fast and Flexible Temporal Point Processes with Triangular Maps,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf,2020
Backpropagating Linearly Improves Transferability of Adversarial Examples,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/00e26af6ac3b1c1c49d7c3d79c60d000-Paper.pdf,2020
A graph similarity for deep learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0004d0b59e19461ff126e3a08a814c33-Paper.pdf,2020
PyGlove: Symbolic Programming for Automated Machine Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/012a91467f210472fab4e11359bbfef6-Paper.pdf,2020
Improved Algorithms for Online Submodular Maximization via First-order Regret Bounds,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0163cceb20f5ca7b313419c068abd9dc-Paper.pdf,2020
Adversarially Robust Streaming Algorithms via Differential Privacy,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0172d289da48c48de8c5ebf3de9f7ee1-Paper.pdf,2020
Synbols: Probing Learning Algorithms with Synthetic Datasets,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/0169cf885f882efd795951253db5cdfb-Paper.pdf,2020
Improving Local Identifiability in Probabilistic Box Embeddings,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/01c9d2c5b3ff5cbba349ec39a570b5e3-Paper.pdf,2020
Cascaded Text Generation with Markov Transformers,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/01a0683665f38d8e5e567b3b15ca98bf-Paper.pdf,2020
Permute-and-Flip: A new mechanism for differentially private selection,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/01e00f2f4bfcbb7505cb641066f2859b-Paper.pdf,2020
Fourier Sparse Leverage Scores and Approximate Kernel Learning,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/012d9fe15b2493f21902cd55603382ec-Paper.pdf,2020
Statistical Guarantees of Distributed Nearest Neighbor Classification,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/022e0ee5162c13d9a7bb3bd00fb032ce-Paper.pdf,2020
Stein Self-Repulsive Dynamics: Benefits From Past Samples,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/023d0a5671efd29e80b4deef8262e297-Paper.pdf,2020
The Statistical Complexity of Early-Stopped Mirror Descent,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/024d2d699e6c1a82c9ba986386f4d824-Paper.pdf,2020
Trading Personalization for Accuracy: Data Debugging in Collaborative Filtering,N/A,N/A,https://papers.nips.cc/paper_files/paper/2020/file/019fa4fdf1c04cf73ba25aa2223769cd-Paper.pdf,2020
