title,authors,abstract,pdf_url,year,label
Off-Policy Evaluation and Learning for External Validity under a Covariate Shift,,,https://papers.nips.cc/paper_files/paper/2020/file/0084ae4bc24c0795d1e6a4f58444d39b-Paper.pdf,2020,Reinforcement Learning
Self-Supervised MultiModal Versatile Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/0060ef47b12160b9198302ebdb144dcf-Paper.pdf,2020,Deep Learning
An Unsupervised Information-Theoretic Perceptual Quality Metric,,,https://papers.nips.cc/paper_files/paper/2020/file/00482b9bed15a272730fcb590ffebddd-Paper.pdf,2020,Computer Vision
"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method",,,https://papers.nips.cc/paper_files/paper/2020/file/007ff380ee5ac49ffc34442f5c2a2b86-Paper.pdf,2020,Deep Learning
Neural Methods for Point-wise Dependency Estimation,,,https://papers.nips.cc/paper_files/paper/2020/file/00a03ec6533ca7f5c644d198d815329c-Paper.pdf,2020,Other
Fast and Flexible Temporal Point Processes with Triangular Maps,,,https://papers.nips.cc/paper_files/paper/2020/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf,2020,Other
Backpropagating Linearly Improves Transferability of Adversarial Examples,,,https://papers.nips.cc/paper_files/paper/2020/file/00e26af6ac3b1c1c49d7c3d79c60d000-Paper.pdf,2020,Deep Learning
A graph similarity for deep learning,,,https://papers.nips.cc/paper_files/paper/2020/file/0004d0b59e19461ff126e3a08a814c33-Paper.pdf,2020,Deep Learning
PyGlove: Symbolic Programming for Automated Machine Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/012a91467f210472fab4e11359bbfef6-Paper.pdf,2020,Optimization
Improved Algorithms for Online Submodular Maximization via First-order Regret Bounds,,,https://papers.nips.cc/paper_files/paper/2020/file/0163cceb20f5ca7b313419c068abd9dc-Paper.pdf,2020,Optimization
Adversarially Robust Streaming Algorithms via Differential Privacy,,,https://papers.nips.cc/paper_files/paper/2020/file/0172d289da48c48de8c5ebf3de9f7ee1-Paper.pdf,2020,Optimization
Synbols: Probing Learning Algorithms with Synthetic Datasets,,,https://papers.nips.cc/paper_files/paper/2020/file/0169cf885f882efd795951253db5cdfb-Paper.pdf,2020,Other
Improving Local Identifiability in Probabilistic Box Embeddings,,,https://papers.nips.cc/paper_files/paper/2020/file/01c9d2c5b3ff5cbba349ec39a570b5e3-Paper.pdf,2020,Other
Cascaded Text Generation with Markov Transformers,,,https://papers.nips.cc/paper_files/paper/2020/file/01a0683665f38d8e5e567b3b15ca98bf-Paper.pdf,2020,NLP
Permute-and-Flip: A new mechanism for differentially private selection,,,https://papers.nips.cc/paper_files/paper/2020/file/01e00f2f4bfcbb7505cb641066f2859b-Paper.pdf,2020,Optimization
Fourier Sparse Leverage Scores and Approximate Kernel Learning,,,https://papers.nips.cc/paper_files/paper/2020/file/012d9fe15b2493f21902cd55603382ec-Paper.pdf,2020,Optimization
Statistical Guarantees of Distributed Nearest Neighbor Classification,,,https://papers.nips.cc/paper_files/paper/2020/file/022e0ee5162c13d9a7bb3bd00fb032ce-Paper.pdf,2020,Other
Stein Self-Repulsive Dynamics: Benefits From Past Samples,,,https://papers.nips.cc/paper_files/paper/2020/file/023d0a5671efd29e80b4deef8262e297-Paper.pdf,2020,Other
The Statistical Complexity of Early-Stopped Mirror Descent,,,https://papers.nips.cc/paper_files/paper/2020/file/024d2d699e6c1a82c9ba986386f4d824-Paper.pdf,2020,Other
Trading Personalization for Accuracy: Data Debugging in Collaborative Filtering,,,https://papers.nips.cc/paper_files/paper/2020/file/019fa4fdf1c04cf73ba25aa2223769cd-Paper.pdf,2020,Other
Algorithmic recourse under imperfect causal knowledge: a probabilistic approach,,,https://papers.nips.cc/paper_files/paper/2020/file/02a3c7fb3f489288ae6942498498db20-Paper.pdf,2020,Other
A Causal View on Robustness  of Neural Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/02ed812220b0705fabb868ddbf17ea20-Paper.pdf,2020,Other
Minimax Classification with 0-1 Loss and Performance Guarantees,,,https://papers.nips.cc/paper_files/paper/2020/file/02f657d55eaf1c4840ce8d66fcdaf90c-Paper.pdf,2020,Other
How to Learn a Useful Critic? Model-based Action-Gradient-Estimator Policy Optimization,,,https://papers.nips.cc/paper_files/paper/2020/file/03255088ed63354a54e0e5ed957e9008-Paper.pdf,2020,Other
Quantitative Propagation of Chaos for SGD in Wide Neural Networks,,,https://papers.nips.cc/paper_files/paper/2020/file/02e74f10e0327ad868d138f2b4fdd6f0-Paper.pdf,2020,Other
Reciprocal Adversarial Learning via Characteristic Functions,,,https://papers.nips.cc/paper_files/paper/2020/file/021f6dd88a11ca489936ae770e4634ad-Paper.pdf,2020,Other
Coresets for Regressions with Panel Data,,,https://papers.nips.cc/paper_files/paper/2020/file/03287fcce194dbd958c2ec5b33705912-Paper.pdf,2020,Optimization
Efficient Contextual Bandits with Continuous Actions,,,https://papers.nips.cc/paper_files/paper/2020/file/033cc385728c51d97360020ed57776f0-Paper.pdf,2020,Reinforcement Learning
Achieving Equalized Odds by Resampling Sensitive Attributes,,,https://papers.nips.cc/paper_files/paper/2020/file/03593ce517feac573fdaafa6dcedef61-Paper.pdf,2020,Other
Hard Shape-Constrained Kernel Machines,,,https://papers.nips.cc/paper_files/paper/2020/file/03fa2f7502f5f6b9169e67d17cbf51bb-Paper.pdf,2020,Optimization
